old,new,location,comments
P1250363,PNG02_1,20200805_Dump,
P1250648,PNG02_2,20200821_Dump,
P1250649,PNG02_3,20200821_Dump,
P1250650,PNG02_4,20200821_Dump,
P1250651,PNG02_5,20200821_Dump,
P1250652,PNG03_1,20200821_Dump,
P1250653,PNG03_2,20200821_Dump,
P1250654,PNG03_3,20200821_Dump,
P1250655,PNG03_4,20200821_Dump,
P1250656,PNG03_5,20200821_Dump,
P1250657,PNG96_1,20200821_Dump,
P1250658,PNG96_2,20200821_Dump,
P1250659,PNG96_3,20200821_Dump,
P1250660,PNG96_4,20200821_Dump,
P1250661,PNG96_5,20200821_Dump,
P1250662,PNG82_1,20200821_Dump,
P1250663,PNG82_2,20200821_Dump,
P1250664,PNG82_3,20200821_Dump,
P1250665,PNG82_4,20200821_Dump,
P1250666,PNG82_5,20200821_Dump,
P1250667,PNG94_1,20200821_Dump,
P1250668,PNG94_2,20200821_Dump,
P1250669,PNG94_3,20200821_Dump,
P1250670,PNG94_4,20200821_Dump,
P1250671,PNG94_5,20200821_Dump,
P1250672,PNG78_1,20200821_Dump,
P1250673,PNG78_2,20200821_Dump,
P1250674,PNG78_3,20200821_Dump,
P1250675,PNG78_4,20200821_Dump,
P1250676,PNG78_5,20200821_Dump,
P1250677,PNG14_1,20200821_Dump,
P1250678,PNG14_2,20200821_Dump,
P1250679,PNG14_3,20200821_Dump,
P1250680,PNG14_4,20200821_Dump,
P1250681,PNG14_5,20200821_Dump,
P1250682,PNG04_1,20200821_Dump,
P1250683,PNG04_2,20200821_Dump,
P1250684,PNG04_3,20200821_Dump,
P1250685,PNG04_4,20200821_Dump,
P1250686,PNG04_5,20200821_Dump,
P1250687,PNG67_1,20200821_Dump,
P1250688,PNG67_2,20200821_Dump,
P1250689,PNG67_3,20200821_Dump,
P1250690,PNG67_4,20200821_Dump,
P1250691,PNG67_5,20200821_Dump,
P1250692,PNG48_1,20200821_Dump,
P1250693,PNG48_2,20200821_Dump,
P1250694,PNG48_3,20200821_Dump,
P1250695,PNG48_4,20200821_Dump,
P1250696,PNG48_5,20200821_Dump,
P1250697,PNG93_1,20200821_Dump,
P1250698,PNG93_2,20200821_Dump,
P1250699,PNG93_3,20200821_Dump,
P1250700,PNG93_4,20200821_Dump,
P1250701,PNG93_5,20200821_Dump,
P1250702,PNG44_1,20200821_Dump,
P1250703,PNG44_2,20200821_Dump,
P1250704,PNG44_3,20200821_Dump,
P1250705,PNG44_4,20200821_Dump,
P1250706,PNG44_5,20200821_Dump,
P1250707,PNG31_1,20200821_Dump,
P1250708,PNG31_2,20200821_Dump,
P1250709,PNG31_3,20200821_Dump,
P1250710,PNG31_4,20200821_Dump,
P1250711,PNG31_5,20200821_Dump,
P1250712,PNG73_1,20200821_Dump,
P1250713,PNG73_2,20200821_Dump,
P1250714,PNG73_3,20200821_Dump,
P1250715,PNG73_4,20200821_Dump,
P1250716,PNG73_5,20200821_Dump,
P1250717,PNG58_1,20200821_Dump,
P1250718,PNG58_2,20200821_Dump,
P1250719,PNG58_3,20200821_Dump,
P1250720,PNG58_4,20200821_Dump,
P1250721,PNG58_5,20200821_Dump,
P1250722,PNG23_1,20200821_Dump,
P1250723,PNG23_2,20200821_Dump,
P1250724,PNG23_3,20200821_Dump,
P1250725,PNG23_4,20200821_Dump,
P1250726,PNG23_5,20200821_Dump,
P1250727,PNG41_1,20200821_Dump,
P1250728,PNG41_2,20200821_Dump,
P1250729,PNG41_3,20200821_Dump,
P1250730,PNG41_4,20200821_Dump,
P1250731,PNG41_5,20200821_Dump,
P1250732,PNG09_1,20200821_Dump,
P1250733,PNG09_2,20200821_Dump,
P1250734,PNG09_3,20200821_Dump,
P1250735,PNG09_4,20200821_Dump,
P1250736,PNG09_5,20200821_Dump,
P1250737,PNG88_1,20200821_Dump,
P1250738,PNG88_2,20200821_Dump,
P1250739,PNG88_3,20200821_Dump,
P1250740,PNG88_4,20200821_Dump,
P1250741,PNG88_5,20200821_Dump,
P1250742,PNG39_1,20200821_Dump,
P1250743,PNG39_2,20200821_Dump,
P1250744,PNG39_3,20200821_Dump,
P1250745,PNG39_4,20200821_Dump,
P1250746,PNG39_5,20200821_Dump,
P1250747,PNG77_1,20200821_Dump,
P1250748,PNG77_2,20200821_Dump,
P1250749,PNG77_3,20200821_Dump,
P1250750,PNG77_4,20200821_Dump,
P1250751,PNG77_5,20200821_Dump,
P1250752,PNG87_1,20200821_Dump,
P1250753,PNG87_2,20200821_Dump,
P1250754,PNG87_3,20200821_Dump,
P1250755,PNG87_4,20200821_Dump,
P1250756,PNG87_5,20200821_Dump,
P1250757,PNG85_1,20200821_Dump,
P1250758,PNG85_2,20200821_Dump,
P1250759,PNG85_3,20200821_Dump,
P1250760,PNG85_4,20200821_Dump,
P1250761,PNG85_5,20200821_Dump,
P1250762,PNG79_1,20200821_Dump,
P1250763,PNG79_2,20200821_Dump,
P1250764,PNG79_3,20200821_Dump,
P1250765,PNG79_4,20200821_Dump,
P1250766,PNG79_5,20200821_Dump,
P1250767,PNG11_1,20200821_Dump,
P1250768,PNG11_2,20200821_Dump,
P1250769,PNG11_3,20200821_Dump,
P1250770,PNG11_4,20200821_Dump,
P1250771,PNG11_5,20200821_Dump,
P1250772,PNG13_1,20200821_Dump,
P1250773,PNG13_2,20200821_Dump,
P1250774,PNG13_3,20200821_Dump,
P1250775,PNG13_4,20200821_Dump,
P1250776,PNG13_5,20200821_Dump,
P1250777,PNG46_1,20200821_Dump,
P1250778,PNG46_2,20200821_Dump,
