"ID","Sex","Age","Province","Treatment","Pigmentation_analysis","var","value"
1,"Male","20-30","Enga","None",TRUE,"curv_mean",0.554498223725417
1,"Male","20-30","Enga","None",TRUE,"curv_median",0.573928236774234
1,"Male","20-30","Enga","None",TRUE,"length_mean",3.22236125782526
1,"Male","20-30","Enga","None",TRUE,"length_median",2.88678570191754
1,"Male","20-30","Enga","None",TRUE,"hair_count",24
1,"Male","20-30","Enga","None",TRUE,"section_area_median",5737.07958477509
1,"Male","20-30","Enga","None",TRUE,"section_area_mean",5389.15801614764
1,"Male","20-30","Enga","None",TRUE,"section_area_sd",1570.69716068015
1,"Male","20-30","Enga","None",TRUE,"section_eccentricity_median",0.858609677766913
1,"Male","20-30","Enga","None",TRUE,"section_eccentricity_mean",0.827099760228072
1,"Male","20-30","Enga","None",TRUE,"section_eccentricity_sd",0.0598517837033257
1,"Male","20-30","Enga","None",TRUE,"section_min_median",65.9062941687753
1,"Male","20-30","Enga","None",TRUE,"section_min_mean",61.3111266577579
1,"Male","20-30","Enga","None",TRUE,"section_min_sd",11.5341605656591
1,"Male","20-30","Enga","None",TRUE,"section_max_median",110.454630497179
1,"Male","20-30","Enga","None",TRUE,"section_max_mean",111.103327181722
1,"Male","20-30","Enga","None",TRUE,"section_max_sd",18.4883755212908
2,"Male","20-30","Enga","None",FALSE,"curv_mean",0.307677878184478
2,"Male","20-30","Enga","None",FALSE,"curv_median",0.278399837183187
2,"Male","20-30","Enga","None",FALSE,"length_mean",2.70937074477805
2,"Male","20-30","Enga","None",FALSE,"length_median",2.58070039967364
2,"Male","20-30","Enga","None",FALSE,"hair_count",28
2,"Male","20-30","Enga","None",FALSE,"section_area_median",5197.12110726644
2,"Male","20-30","Enga","None",FALSE,"section_area_mean",5302.72110726644
2,"Male","20-30","Enga","None",FALSE,"section_area_sd",253.807904948432
2,"Male","20-30","Enga","None",FALSE,"section_eccentricity_median",0.853261417923369
2,"Male","20-30","Enga","None",FALSE,"section_eccentricity_mean",0.81915677326694
2,"Male","20-30","Enga","None",FALSE,"section_eccentricity_sd",0.0870916333820631
2,"Male","20-30","Enga","None",FALSE,"section_min_median",59.0803270983537
2,"Male","20-30","Enga","None",FALSE,"section_min_mean",62.2386104368736
2,"Male","20-30","Enga","None",FALSE,"section_min_sd",7.65723189381118
2,"Male","20-30","Enga","None",FALSE,"section_max_median",113.292820706792
2,"Male","20-30","Enga","None",FALSE,"section_max_mean",112.415898058258
2,"Male","20-30","Enga","None",FALSE,"section_max_sd",8.22059266521113
3,"Female","20-30","Manus","None",TRUE,"curv_mean",0.714253084508939
3,"Female","20-30","Manus","None",TRUE,"curv_median",0.739848171998491
3,"Female","20-30","Manus","None",TRUE,"length_mean",4.06918715490509
3,"Female","20-30","Manus","None",TRUE,"length_median",3.78731545905073
3,"Female","20-30","Manus","None",TRUE,"hair_count",24
3,"Female","20-30","Manus","None",TRUE,"section_area_median",4148.48442906574
3,"Female","20-30","Manus","None",TRUE,"section_area_mean",3886.17301038062
3,"Female","20-30","Manus","None",TRUE,"section_area_sd",1279.35525242326
3,"Female","20-30","Manus","None",TRUE,"section_eccentricity_median",0.781031156312607
3,"Female","20-30","Manus","None",TRUE,"section_eccentricity_mean",0.677954260567995
3,"Female","20-30","Manus","None",TRUE,"section_eccentricity_sd",0.245864991879129
3,"Female","20-30","Manus","None",TRUE,"section_min_median",57.5127226397729
3,"Female","20-30","Manus","None",TRUE,"section_min_mean",56.8574848127613
3,"Female","20-30","Manus","None",TRUE,"section_min_sd",7.05932778423149
3,"Female","20-30","Manus","None",TRUE,"section_max_median",91.0022808290099
3,"Female","20-30","Manus","None",TRUE,"section_max_mean",85.9910478569857
3,"Female","20-30","Manus","None",TRUE,"section_max_sd",19.850129439238
4,"Male","20-30","Western Highlands","None",TRUE,"curv_mean",0.589836339425738
